ne_name,top_keys
CARDINAL,"[('心情', [('數十', 1), ('四五', 1), ('一次', 1), ('4/23', 1), ('4/17', 1), ('18', 1), ('2400', 1), ('幾十', 1), ('破千', 1), ('一半', 1), ('九成', 1), ('雙方', 1)]), ('閒聊', [('20', 1), ('80', 1), ('800', 1), ('1000', 1), ('200萬', 1)]), ('美食', [('168', 2), ('$880', 2), ('2000', 1), ('628', 1), ('3千多', 1), ('一次', 1), ('25%', 1), ('20%', 1), ('140', 1), ('85', 1), ('11', 1), ('10', 1), ('20', 1), ('02', 1), ('208號', 1), ('399', 1), ('250', 1), ('89', 1), ('1.六', 1), ('298', 1)]), ('時事', [('18', 2), ('一千', 2), ('數百', 2), ('1萬3000', 1), ('35.8萬', 1), ('739', 1), ('18萬', 1), ('70萬', 1), ('14萬', 1), ('2014', 1), ('1000', 1), ('55', 1), ('二十分之一', 1), ('200', 1), ('五一', 1), ('10', 1), ('10 ', 1)]), ('全部', [('18', 3), ('一次', 2), ('20', 2), ('80', 2), ('1000', 2), ('168', 2), ('$880', 2), ('10', 2), ('一千', 2), ('數百', 2), ('數十', 1), ('四五', 1), ('4/23', 1), ('4/17', 1), ('2400', 1), ('幾十', 1), ('破千', 1), ('一半', 1), ('九成', 1), ('雙方', 1)])]"
DATE,"[('心情', [('九天', 11), ('今天', 7), ('昨天', 3), ('26歲', 2), ('十天', 2), ('明天', 2), ('1987 年', 1), ('4/19 一日', 1), ('五月', 1), ('20年', 1), ('冬天', 1), ('前3～4年', 1), ('一年後', 1), ('下禮拜六日', 1), ('五月初', 1), ('4/17號', 1), ('4/19號', 1), ('4/20', 1), ('17-19號', 1), ('一兩天', 1)]), ('閒聊', [('今天', 3), ('23號', 1), ('本週', 1), ('49歲', 1), ('今年6月15日', 1)]), ('美食', [('今天', 9), ('這幾天', 2), ('兩個禮拜', 2), ('昨天', 1), ('星期日', 1), ('這兩天', 1), ('去年', 1), ('前一天', 1), ('兩個月', 1), ('336號', 1), ('106號', 1), ('133號', 1), ('171號', 1), ('10號', 1), ('60號', 1), ('55號', 1), ('明天', 1), ('最後一天', 1)]), ('時事', [('今天', 7), ('明天', 2), ('當天', 2), ('百年', 2), ('4月8日', 2), ('五一勞動節', 1), ('下周一', 1), ('30多年', 1), ('前天', 1), ('周一', 1), ('25日', 1), ('這一天', 1), ('幾天', 1), ('5天', 1), ('下星期', 1), ('千年', 1), ('5月1日', 1), ('2014年', 1), ('那幾年', 1)]), ('全部', [('今天', 26), ('九天', 11), ('明天', 5), ('昨天', 4), ('26歲', 2), ('十天', 2), ('這幾天', 2), ('兩個禮拜', 2), ('當天', 2), ('百年', 2), ('4月8日', 2), ('1987 年', 1), ('4/19 一日', 1), ('五月', 1), ('20年', 1), ('冬天', 1), ('前3～4年', 1), ('一年後', 1), ('下禮拜六日', 1), ('五月初', 1)])]"
EVENT,"[('心情', [('大運會', 2)]), ('閒聊', []), ('美食', []), ('時事', [('武漢肺炎', 1)]), ('全部', [('大運會', 2), ('武漢肺炎', 1)])]"
FAC,"[('心情', [('衛生所', 2)]), ('閒聊', [('嘉義站', 2)]), ('美食', [('捷運士林站', 1), ('新光三越七樓', 1), ('台北大學', 1), ('德化街', 1), ('公益路', 1), ('復興店', 1), ('復興路', 1), ('西門店', 1), ('麥吉西門店', 1), ('捷運站', 1)]), ('時事', [('五一車站', 1), ('台北車站', 1), ('克里姆林宮', 1)]), ('全部', [('衛生所', 2), ('嘉義站', 2), ('捷運士林站', 1), ('新光三越七樓', 1), ('台北大學', 1), ('德化街', 1), ('公益路', 1), ('復興店', 1), ('復興路', 1), ('西門店', 1), ('麥吉西門店', 1), ('捷運站', 1), ('五一車站', 1), ('台北車站', 1), ('克里姆林宮', 1)])]"
GPE,"[('心情', [('台北市', 2), ('台澎', 1), ('印尼', 1), ('北市', 1), ('台灣', 1)]), ('閒聊', [('台灣', 2), ('台南', 1), ('台中', 1), ('新竹', 1), ('美國', 1), ('日本', 1), ('以色列', 1)]), ('美食', [('日本', 4), ('台中市', 4), ('台北', 2), ('高雄', 2), ('台灣', 2), ('台北市', 1), ('大安區', 1), ('士林', 1), ('法國', 1), ('日式', 1), ('新北市', 1), ('台中北區', 1), ('台中中區', 1), ('柳川', 1), ('京都', 1), ('加拿大', 1), ('澳洲', 1), ('南非', 1)]), ('時事', [('台灣', 8), ('中國', 5), ('法國', 5), ('俄羅斯', 5), ('上海', 4), ('德國', 4), ('台北市', 3), ('烏克蘭', 3), ('嘉義', 2), ('雲林', 2), ('平鎮', 2), ('台中', 2), ('俄國', 2), ('克里米亞', 2), ('士林', 1), ('北投', 1), ('南投', 1), ('湖北港水林', 1), ('口湖', 1), ('基隆', 1)]), ('全部', [('台灣', 13), ('台北市', 6), ('法國', 6), ('日本', 5), ('中國', 5), ('俄羅斯', 5), ('台中市', 4), ('上海', 4), ('德國', 4), ('台中', 3), ('烏克蘭', 3), ('士林', 2), ('台北', 2), ('新北市', 2), ('高雄', 2), ('嘉義', 2), ('雲林', 2), ('平鎮', 2), ('俄國', 2), ('克里米亞', 2)])]"
LANGUAGE,"[('心情', [('華語', 1)]), ('閒聊', []), ('美食', []), ('時事', []), ('全部', [('華語', 1)])]"
LAW,"[('心情', []), ('閒聊', []), ('美食', []), ('時事', []), ('全部', [])]"
LOC,"[('心情', []), ('閒聊', [('歐美', 1), ('亞洲', 1), ('中東', 1)]), ('美食', [('台中西區', 2), ('仁愛路四段', 1), ('中正路', 1), ('中山區', 1), ('旗山', 1), ('北區', 1), ('柳川西路四段', 1), ('澎湖海', 1), ('澳洲', 1), ('北海', 1)]), ('時事', [('瑞芳區', 1), ('波羅的海', 1)]), ('全部', [('台中西區', 2), ('歐美', 1), ('亞洲', 1), ('中東', 1), ('仁愛路四段', 1), ('中正路', 1), ('中山區', 1), ('旗山', 1), ('北區', 1), ('柳川西路四段', 1), ('澎湖海', 1), ('澳洲', 1), ('北海', 1), ('瑞芳區', 1), ('波羅的海', 1)])]"
MONEY,"[('心情', [('60 元', 1), ('一毛錢', 1)]), ('閒聊', [('20萬', 1)]), ('美食', [('一元美金', 1), ('30元', 1), ('八十塊', 1), ('250元', 1), ('100塊', 1), ('10', 1), ('1g／$20', 1)]), ('時事', [('3.5億歐元', 1), ('約台幣111億元', 1), ('2.73億歐元', 1), ('約台幣87億元', 1), (' 2.73 億歐元', 1), ('1.21 億歐元', 1), ('1.52 億歐元', 1), ('1000', 1)]), ('全部', [('60 元', 1), ('一毛錢', 1), ('20萬', 1), ('一元美金', 1), ('30元', 1), ('八十塊', 1), ('250元', 1), ('100塊', 1), ('10', 1), ('1g／$20', 1), ('3.5億歐元', 1), ('約台幣111億元', 1), ('2.73億歐元', 1), ('約台幣87億元', 1), (' 2.73 億歐元', 1), ('1.21 億歐元', 1), ('1.52 億歐元', 1), ('1000', 1)])]"
NORP,"[('心情', []), ('閒聊', []), ('美食', [('韓式', 1), ('德式', 1)]), ('時事', [('台灣人', 3), ('中國', 2), ('印度', 1), ('中國人', 1), ('大陸人', 1)]), ('全部', [('台灣人', 3), ('中國', 2), ('韓式', 1), ('德式', 1), ('印度', 1), ('中國人', 1), ('大陸人', 1)])]"
